品类,MAPE
category84,12.867981792415199
category21,35.49057559431535
category254,14.692519534179038
category42,19.855320280983907
category308,13.601557448015622
category225,20.278171417130853
category60,19.77272091457315
category65,25.034175563757945
category20,14.996075793338138
category209,29.866595612057363
category164,10.401020389275189
category102,6.8708104187266565
category40,19.045604758126245
category130,8.666182668653015
category243,14.770532726983776
category323,46.47072628113638
category279,28.457898888775386
category153,23.626344869094236
category2,37.6138047584311
category87,7.614923763445241
category183,10.807762691980239
category245,17.062401308220863
category166,12.828144169612965
category30,8.226080663986977
category276,7.146952724493671
category190,17.600451983530643
category283,10.696775117225489
category280,17.763437696346692
category141,177.108537692567
category242,9.798635608151415
category185,28.92644190151044
category250,15.932233132972776
category266,18.508285441223332
category263,17.744043300245302
category195,10.972763961901892
category313,58.392232341470105
category237,11.777292331514275
category287,13.600459492310002
category259,33.63087280560012
category191,15.901392636604495
category223,30.48121866539479
category95,27.295453668349527
category44,27.048534621293523
category161,8.404691325608058
category200,12.208443959207223
category203,6.850723114630605
category89,10.20299781198593
category32,33.139244502216926
category61,7.227749491129293
category72,7.586475554346456
category248,19.65326531217103
category307,19.970399642948404
category285,9.947172182904195
category97,21.653930086924166
category128,33.27874779733149
category196,11.998946533973903
category151,13.72359647508468
category282,10.52175652075498
category165,17.514693632053064
category124,8.25902885059854
category262,26.309322868997942
category154,9.996804922921346
category58,13.456638290373773
category240,20.250065095799457
category208,1399.9732320354508
category226,12.293773610455078
category86,24.877810788396733
category299,14.366801610790416
category121,6.223527302208211
category286,30.53434239209701
category122,12.127409540961438
category253,8.10738696549565
category77,52.72380562887202
category273,10.083954585100354
category173,20.980106504851992
category62,22.66230972450308
category169,14.010671883682582
category148,11.213074859957972
category180,74.86130623060623
category47,32.538860442087206
category48,8.970059068132713
category292,70.99365487150729
category80,23.0599409381979
category198,37.21424123208392
category93,12.454248354419699
category56,15.289821617644664
category51,23.498739762108567
category293,66.15954448063923
category45,23.733497411250827
category107,26.4900159283462
category184,12.171643013950867
category143,10.889377453163561
category194,12.761213372321176
category241,10.48633034550632
category29,49.00435355283126
category8,10.58619818412858
category135,23.28548659182159
category15,19.368157410622512
category239,12.238085584179927
category146,14.32020402375009
category281,7.911886689745868
category232,20.431895379819878
category316,31.796882022897965
category247,55.81849092824073
category12,39.99369003724163
category303,19.488204238625954
category16,25.362425769177534
category258,6.520820501939721
category104,10.854220766964177
category296,20.025012829373225
category321,11.28340520461943
category252,19.56893407769206
category233,23.2952848053309
category236,12.683909707836005
category33,34.930767598328345
category275,17.51665303152994
category19,43.73503015163351
category70,23.134055208330974
category103,10.761074351495175
category157,37.267464935022595
category46,43.88379440861211
category114,36.62489747955364
category268,12.283758784309667
category138,30.67448125816266
category94,7.41560984775876
category63,29.670620668667436
category322,31.02506984881863
category152,10.924021251261141
category73,59.12795802240567
category49,14.404292051986076
category43,12.87465038089114
category108,6.515838643846693
category88,17.232706258038387
category238,24.375465938964368
category13,38.60501969021838
category112,42.5770165901638
category261,8.044728655252925
category215,10.002726402326333
category156,7.263913325503382
category78,20.719333438622957
category17,19.045360305551426
category118,10.869458993858393
category227,26.20174946430471
category85,31.36198343912851
category27,22.555812968977147
category144,39.988942321172196
category271,18.72730791749181
category136,89.56199318103053
category140,12.325298396438374
category295,29.477789848056528
category137,37.0698530502733
category267,84.69172044523282
category324,20.76386210245093
category26,18.935056204164262
category35,14.994544026477142
category127,12.28982514688793
category171,26.443049190104524
category28,13.032854535010518
category123,12.202086716355879
category264,38.264971840634374
category176,9.515163074436344
category100,17.388173386498195
category300,9.663405253982635
category189,51.35315511336644
category76,11.24302440613945
category297,19.812413079254533
category277,30.77233284848331
category246,11.999307556306256
category257,9.955617282568385
category256,22.325176772178544
category182,49.90944197814442
category214,21.020853216820505
category197,78.83636614036797
category305,48.82463084365334
category172,9.08194370946364
category174,24.028863107593118
category347,32.32106862490129
category284,16.308946854464022
category178,46.8654747816653
category18,14.921525050999174
category222,16.41302739939582
category79,117.88098533099722
category158,13.244932753360999
category205,87.46603491085519
category53,28.07509730052034
category218,26.396979152680967
category38,18.918031258732483
category201,14.755410889333643
category34,15.768388772033267
category125,36.483240146669324
category64,24.577973210353107
category25,35.123255900449294
category177,23.157394477167855
category255,97.83155457955755
category101,13.550315009006047
category110,9.07396935869415
category341,62.84504062288041
